val1,val2,val3,PSAL,code,step,PLRR,ARTL
6,8,0,4,58,0,113,604
1,2,0,4,11,1,113,604
31,0,0,4,5,2,113,604
0,0,0,4,255,3,113,604
240,32,254,6,8,0,98,315
240,32,254,6,8,1,98,315
0,0,0,6,10,2,98,315
0,0,0,6,255,3,98,315
54,32,254,7,8,0,63,394
1,4,0,7,9,1,63,394
240,10,254,7,8,2,63,394
0,0,0,7,10,3,63,394
0,0,0,7,255,4,63,394
54,32,254,8,8,0,88,2260
2,4,0,8,9,1,88,2260
240,53,254,8,8,2,88,2260
0,0,0,8,10,3,88,2260
0,0,0,8,255,4,88,2260
32,32,254,9,8,0,79,656
2,2,0,9,9,1,79,656
120,64,254,9,8,2,79,656
0,0,0,9,10,3,79,656
0,0,0,9,255,4,79,656
32,32,254,10,8,0,85,657
1,2,0,10,9,1,85,657
120,0,254,10,8,2,85,657
0,0,0,10,10,3,85,657
0,0,0,10,255,4,85,657
0,0,0,11,15,0,2,233
0,0,0,11,255,1,2,233
0,0,0,12,14,0,1,225
0,0,0,12,255,1,1,225
8,6,1,15,58,0,58,6202
6,58,-1,15,26,1,58,6202
40,58,114,15,32,2,58,6202
0,0,0,15,1,3,58,6202
0,0,0,15,255,4,58,6202
6,8,1,16,58,0,58,892
6,5,-1,16,26,1,58,892
40,5,114,16,32,2,58,892
0,0,0,16,1,3,58,892
0,0,0,16,255,4,58,892
12,11,1,18,58,0,48,249
1,37,-1,18,26,1,48,249
48,37,191,18,13,2,48,249
0,0,0,18,1,3,48,249
0,0,0,18,255,4,48,249
0,0,0,19,15,0,2,236
0,0,0,19,255,1,2,236
1,0,0,21,16,0,2,236
72,32,63,21,3,1,2,236
0,0,0,21,2,2,2,236
0,0,0,21,255,3,2,236
80,0,0,22,25,0,2,236
80,32,254,22,3,1,2,236
0,0,0,22,2,2,2,236
0,0,0,22,255,3,2,236
0,0,0,52,29,0,2,236
0,0,0,52,2,1,2,236
0,0,0,52,255,2,2,236
0,0,0,53,28,0,2,236
0,0,0,53,255,1,2,236
0,0,0,54,27,0,2,236
0,0,0,54,255,1,2,236
113,111,1,55,58,0,57,272
1,14,-1,55,26,1,57,272
56,14,191,55,13,2,57,272
0,0,0,55,1,3,57,272
0,0,0,55,255,4,57,272
8,32,254,56,8,0,90,5342
56,48,254,56,8,1,90,5342
1,2,0,56,9,2,90,5342
160,17,254,56,8,3,90,5342
0,0,0,56,10,4,90,5342
0,0,0,56,255,5,90,5342
24,48,254,59,8,0,88,297
1,1,0,59,9,1,88,297
56,32,254,59,8,2,88,297
2,1,0,59,9,3,88,297
240,48,254,59,8,4,88,297
0,0,0,59,10,5,88,297
0,0,0,59,255,6,88,297
32,53,165,64,8,0,91,443
40,56,165,64,8,1,91,443
96,60,165,64,8,2,91,443
0,0,0,64,10,3,91,443
0,0,0,64,255,4,91,443
20,60,165,65,8,0,91,445
96,58,165,65,8,1,91,445
0,0,0,65,10,2,91,445
0,0,0,65,255,3,91,445
32,48,254,78,8,0,66,626
1,1,0,78,9,1,66,626
32,32,254,78,8,2,66,626
1,1,0,78,9,3,66,626
120,16,254,78,8,4,66,626
0,0,0,78,10,5,66,626
0,0,0,78,255,6,66,626
96,58,191,80,8,0,101,332
1,4,0,80,9,1,101,332
240,33,254,80,8,2,101,332
0,0,0,80,10,3,101,332
0,0,0,80,255,4,101,332
24,69,242,81,8,0,99,1147
32,64,242,81,8,1,99,1147
32,58,242,81,8,2,99,1147
0,0,0,81,10,3,99,1147
0,0,0,81,255,4,99,1147
1,0,0,87,27,0,99,1147
24,8,254,87,3,1,99,1147
0,0,0,87,1,2,99,1147
0,0,0,87,255,3,99,1147
1,0,0,88,27,0,99,1147
0,0,0,88,7,1,99,1147
0,0,0,88,255,2,99,1147
96,0,165,91,8,0,92,439
16,10,165,91,8,1,92,439
16,17,165,91,8,2,92,439
0,0,0,91,10,3,92,439
0,0,0,91,255,4,92,439
22,28,0,92,58,0,111,600
2,11,1,92,12,1,111,600
32,0,0,92,5,2,111,600
64,0,0,92,25,3,111,600
0,0,0,92,255,4,111,600
68,32,254,93,8,0,69,1287
2,5,0,93,9,1,69,1287
8,80,254,93,8,2,69,1287
32,0,0,93,25,3,69,1287
0,0,0,93,10,4,69,1287
0,0,0,93,255,5,69,1287
6,0,0,94,25,0,77,2270
80,32,254,94,8,1,77,2270
2,2,0,94,9,2,77,2270
120,64,254,94,8,3,77,2270
0,0,0,94,10,4,77,2270
0,0,0,94,255,5,77,2270
68,32,254,95,8,0,88,391
2,1,0,95,9,1,88,391
240,48,254,95,8,2,88,391
0,0,0,95,10,3,88,391
0,0,0,95,255,4,88,391
4,-1,0,99,18,0,2,216
0,0,0,99,255,1,2,216
35,0,0,101,7,0,40,430
0,0,0,101,255,1,40,430
21,0,0,102,7,0,40,431
0,0,0,102,255,1,40,431
104,32,254,110,8,0,81,1025
1,2,0,110,9,1,81,1025
200,0,254,110,8,2,81,1025
0,0,0,110,10,3,81,1025
0,0,0,110,255,4,81,1025
64,48,254,112,8,0,101,305
1,1,0,112,9,1,101,305
240,32,254,112,8,2,101,305
0,0,0,112,10,3,101,305
0,0,0,112,255,4,101,305
5,3,1,113,58,0,49,288
3,0,0,113,25,1,49,288
22,60,-1,113,26,2,49,288
8,64,0,113,13,3,49,288
16,52,254,113,3,4,49,288
0,0,0,113,1,5,49,288
0,0,0,113,255,6,49,288
80,32,254,115,8,0,82,379
1,2,0,115,9,1,82,379
200,0,254,115,8,2,82,379
0,0,0,115,10,3,82,379
0,0,0,115,255,4,82,379
20,23,254,116,8,0,71,2489
1,4,0,116,9,1,71,2489
200,0,254,116,8,2,71,2489
0,0,0,116,10,3,71,2489
0,0,0,116,255,4,71,2489
68,32,254,117,8,0,69,385
2,5,0,117,9,1,69,385
64,0,0,117,25,2,69,385
0,0,0,117,10,3,69,385
0,0,0,117,255,4,69,385
68,32,254,119,8,0,69,537
1,5,0,119,9,1,69,537
48,0,0,119,25,2,69,537
0,0,0,119,10,3,69,537
0,0,0,119,255,4,69,537
64,32,254,120,8,0,86,2164
1,23,0,120,9,1,86,2164
200,8,254,120,8,2,86,2164
0,0,0,120,10,3,86,2164
0,0,0,120,255,4,86,2164
20,32,254,121,8,0,79,1851
2,2,0,121,9,1,79,1851
160,64,254,121,8,2,79,1851
96,0,0,121,25,3,79,1851
0,0,0,121,10,4,79,1851
0,0,0,121,255,5,79,1851
40,3,165,122,8,0,92,6284
96,3,165,122,8,1,92,6284
0,0,0,122,10,2,92,6284
0,0,0,122,255,3,92,6284
4,24,254,125,8,0,71,465
1,3,0,125,9,1,71,465
4,16,254,125,8,2,71,465
8,10,254,125,8,3,71,465
8,5,254,125,8,4,71,465
80,0,254,125,8,5,71,465
0,0,0,125,10,6,71,465
0,0,0,125,255,7,71,465
1,24,-1,128,26,0,2,210
7,-1,0,128,18,1,2,210
0,0,0,128,255,2,2,210
11,12,1,132,58,0,48,261
1,28,-1,132,26,1,48,261
48,28,191,132,13,2,48,261
0,0,0,132,1,3,48,261
0,0,0,132,255,4,48,261
16,32,254,136,8,0,96,413
1,4,0,136,9,1,96,413
224,7,254,136,8,2,96,413
0,0,0,136,10,3,96,413
0,0,0,136,255,4,96,413
3,0,0,138,25,0,2,219
25,0,-1,138,26,1,2,219
2,-1,0,138,18,2,2,219
0,0,0,138,255,3,2,219
68,32,254,139,8,0,87,394
1,1,0,139,9,1,87,394
240,16,254,139,8,2,87,394
0,0,0,139,10,3,87,394
0,0,0,139,255,4,87,394
50,46,1,143,58,0,56,264
1,24,-1,143,26,1,56,264
48,24,191,143,13,2,56,264
0,0,0,143,1,3,56,264
0,0,0,143,255,4,56,264
0,0,0,143,255,5,56,264
240,32,254,145,8,0,98,315
200,32,254,145,8,1,98,315
0,0,0,145,10,2,98,315
0,0,0,145,255,3,98,315
85,82,1,146,58,0,47,265
4,0,0,146,25,1,47,265
3,28,-1,146,26,2,47,265
48,14,191,146,13,3,47,265
0,0,0,146,1,4,47,265
0,0,0,146,255,5,47,265
46,50,1,147,58,0,56,5876
22,64,-1,147,26,1,56,5876
48,44,191,147,13,2,56,5876
0,0,0,147,1,3,56,5876
0,0,0,147,255,4,56,5876
54,32,254,149,8,0,77,1146
2,2,0,149,9,1,77,1146
120,64,254,149,8,2,77,1146
0,0,0,149,10,3,77,1146
0,0,0,149,255,4,77,1146
4,32,254,152,8,0,96,511
2,4,0,152,9,1,96,511
240,56,254,152,8,2,96,511
0,0,0,152,10,3,96,511
0,0,0,152,255,4,96,511
4,0,0,153,25,0,96,485
24,10,254,153,8,1,96,485
2,2,0,153,9,2,96,485
200,48,254,153,8,3,96,485
0,0,0,153,10,4,96,485
0,0,0,153,255,5,96,485
40,16,254,157,8,0,104,2762
2,22,0,157,9,1,104,2762
120,64,254,157,8,2,104,2762
0,0,0,157,10,3,104,2762
0,0,0,157,255,4,104,2762
68,32,254,158,8,0,88,393
2,4,0,158,9,1,88,393
240,48,254,158,8,2,88,393
0,0,0,158,10,3,88,393
0,0,0,158,255,4,88,393
10,40,254,159,8,0,71,2479
2,4,0,159,9,1,71,2479
176,64,254,159,8,2,71,2479
0,0,0,159,10,3,71,2479
0,0,0,159,255,4,71,2479
16,32,254,161,8,0,96,1109
1,4,0,161,9,1,96,1109
160,7,254,161,8,2,96,1109
0,0,0,161,10,3,96,1109
0,0,0,161,255,4,96,1109
4,32,254,162,8,0,96,511
2,4,0,162,9,1,96,511
224,56,254,162,8,2,96,511
0,0,0,162,10,3,96,511
0,0,0,162,255,4,96,511
16,32,254,163,8,0,96,412
2,1,0,163,9,1,96,412
224,56,254,163,8,2,96,412
0,0,0,163,10,3,96,412
0,0,0,163,255,4,96,412
240,32,254,164,8,0,98,314
176,32,254,164,8,1,98,314
0,0,0,164,10,2,98,314
0,0,0,164,255,3,98,314
45,42,1,169,58,0,56,267
1,39,-1,169,26,1,56,267
48,39,191,169,13,2,56,267
0,0,0,169,1,3,56,267
0,0,0,169,255,4,56,267
40,48,254,170,8,0,101,304
1,1,0,170,9,1,101,304
240,32,254,170,8,2,101,304
0,0,0,170,10,3,101,304
0,0,0,170,255,4,101,304
240,32,254,176,8,0,98,313
240,32,254,176,8,1,98,313
0,0,0,176,10,2,98,313
0,0,0,176,255,3,98,313
68,32,254,177,8,0,64,387
2,23,0,177,9,1,64,387
120,53,254,177,8,2,64,387
0,0,0,177,10,3,64,387
0,0,0,177,255,4,64,387
24,64,-1,181,26,0,2,646
3,-1,0,181,18,1,2,646
0,0,0,181,255,2,2,646
4,-1,0,183,18,0,2,215
0,0,0,183,255,1,2,215
24,0,-1,185,26,0,2,1032
3,-1,0,185,18,1,2,1032
0,0,0,185,15,2,2,1032
0,0,0,185,255,3,2,1032
6,8,1,190,58,0,58,273
6,5,-1,190,26,1,58,273
48,5,130,190,32,2,58,273
0,0,0,190,1,3,58,273
0,0,0,190,255,4,58,273
82,85,1,196,58,0,47,4907
12,0,0,196,25,1,47,4907
3,44,-1,196,26,2,47,4907
48,44,114,196,13,3,47,4907
0,0,0,196,1,4,47,4907
0,0,0,196,255,5,47,4907
41,43,1,198,58,0,56,290
2,0,-1,198,26,1,56,290
48,28,191,198,13,2,56,290
0,0,0,198,1,3,56,290
0,0,0,198,255,4,56,290
157,156,1,199,58,0,48,240
20,44,-1,199,26,1,48,240
32,44,153,199,13,2,48,240
0,0,0,199,1,3,48,240
0,0,0,199,255,4,48,240
6,0,0,203,25,0,71,727
10,40,254,203,8,1,71,727
2,4,0,203,9,2,71,727
200,64,254,203,8,3,71,727
0,0,0,203,10,4,71,727
0,0,0,203,255,5,71,727
12,23,254,205,8,0,71,4209
1,4,0,205,9,1,71,4209
176,0,254,205,8,2,71,4209
0,0,0,205,10,3,71,4209
0,0,0,205,255,4,71,4209
24,64,-1,215,26,0,2,646
3,-1,0,215,18,1,2,646
0,0,0,215,255,2,2,646
4,-1,0,217,18,0,2,208
0,0,0,217,255,1,2,208
156,157,1,218,58,0,48,241
20,21,-1,218,26,1,48,241
32,21,191,218,13,2,48,241
0,0,0,218,1,3,48,241
0,0,0,218,255,4,48,241
4,42,254,229,8,0,104,3123
8,32,254,229,8,1,104,3123
